"","subject","block","...1","group","Congruent","Incongruent","Total","TP","CP","IP","sex","sprache","age","study","study_parents","FAT1","FAT2","EN1","EN2","TE1","TE2","MWP","MSC","sum_inc","sum_con","sum_all","interference"
"110","A1257WMSPCDED1",13,118,"low",61,28,89,0.296666666666667,0.363095238095238,0.212121212121212,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.014218009478673
"111","A1257WMSPCDED1",14,119,"low",78,66,144,0.36,0.348214285714286,0.375,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.140625
"112","A1257WMSPCDED1",15,120,"low",105,100,205,0.341666666666667,0.3125,0.378787878787879,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.169620253164557
"113","A1257WMSPCDED1",2,107,"low",45,30,75,0.9375,1,0.857142857142857,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,1
"114","A1257WMSPCDED1",3,108,"low",47,34,81,0.941860465116279,0.979166666666667,0.894736842105263,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,0.6
"115","A1257WMSPCDED1",4,109,"low",51,36,87,0.935483870967742,0.980769230769231,0.878048780487805,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,1
"116","A1257WMSPCDED1",5,110,"low",56,37,93,0.93,1,0.840909090909091,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,1
"117","A1257WMSPCDED1",6,111,"low",60,40,100,0.917431192660551,0.983606557377049,0.833333333333333,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,0.777777777777778
"118","A1257WMSPCDED1",7,112,"low",62,39,101,0.841666666666667,0.925373134328358,0.735849056603774,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,0.473684210526316
"119","A1257WMSPCDED1",8,113,"low",70,45,115,0.858208955223881,0.933333333333333,0.76271186440678,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,0.555555555555556
"120","A1257WMSPCDED1",9,114,"low",64,47,111,0.74,0.761904761904762,0.712121212121212,1,1,35,2,2,2.4,1.6,5.6,5.8,2,1.8,1.91666666666667,4,634,877,1511,-0.0256410256410256
"121","A13FU0HC7M6FK3",1,121,"low",45,32,77,0.9625,1,0.914285714285714,2,1,54,2,1,2,4.4,7,3.2,1.4,6,3.58333333333333,3.76923076923077,684,757,1441,1
"122","A13FU0HC7M6FK3",10,130,"low",41,44,85,0.497076023391813,0.427083333333333,0.586666666666667,2,1,54,2,1,2,4.4,7,3.2,1.4,6,3.58333333333333,3.76923076923077,684,757,1441,-0.279069767441861
